150,150,150,150,150,1,0
150,150,150,150,150,0,0
150,150,150,150,150,0,0
150,150,150,150,146.1369327,-1,0
150,150,150,150,133.0306549,2,0
150,150,150,150,150,0,0
150,150,150,150,150,1,0
150,150,150,150,150,5,0
150,150,150,150,150,5,0
150,150,150,150,150,2,0
150,150,150,150,150,0,0
150,150,150,150,150,1,0
150,150,150,150,150,5,0
150,150,150,150,150,3,0
150,150,150,150,150,1,0
150,150,150,150,150,1,0
150,150,150,95.1254303,150,1,0
150,150,150,82.31977273,69.85211297,0,0
150,150,125.4200803,62.67159394,53.27147143,-1,1
150,150,150,150,150,-3,0
150,150,150,150,114.3473097,-3,0
150,150,150,103.3887267,66.97705472,0,0
150,150,150,150,64.37014802,-3,0
150,150,150,48.87287448,48.32073931,-1,1
150,150,150,150,150,0,0
150,150,150,150,150,-2,0
150,150,150,150,150,-5,0
150,150,150,150,150,-4,0
150,150,150,150,106.1123372,1,0
144.6256276,130.3367816,150,150,126.1809676,1,0
124.4870401,98.5577748,110.6733065,150,150,0,0
80.43230667,63.84271999,71.63991339,128.7780249,150,3,1
91.08700184,35.99163752,28.30453105,31.18370497,53.79161536,2,1
150,136.6795849,150,150,150,2,0
150,150,126.921399,150,150,0,0
150,150,96.34079775,78.56523221,150,0,0
150,132.4041957,59.66339346,48.78013204,150,0,1
150,131.3172195,110.4823881,131.4480076,150,1,0
150,150,101.683235,100.1622418,143.8965793,-2,0
125.0945574,74.30584318,68.44330749,89.70731552,150,-3,1
42.58192414,40.72445977,55.68582944,150,150,-3,1
150,135.2230295,113.7032867,150,150,-5,0
150,150,150,91.2726323,54.94558827,-5,1
150,59.48508651,38.22606082,36.69077975,50.33772561,0,1
150,133.4170786,150,150,150,0,0
150,116.2443912,150,150,150,1,0
150,97.21361639,69.72173245,150,150,1,1
150,62.98388139,37.46406749,34.60377248,150,0,1
150,150,127.1648831,116.6652294,150,-2,0
150,109.0578518,103.220212,140.4248374,150,-2,0
85.83933614,75.86405636,94.83414144,150,150,-3,0
59.59247041,77.70453824,150,150,136.3883986,-5,0
150,150,132.4521032,98.60470839,105.1921304,-5,0
99.4929218,74.87407919,80.44050646,150,150,-1,0
53.81090817,46.97382039,57.64582258,150,150,-2,1
150,133.8837231,112.5512281,133.8150315,150,0,0
150,116.8275072,98.14439129,116.5156164,150,-1,0
112.4032041,72.52192989,69.99763613,97.492053,150,0,1
53.38490555,34.71175053,33.52612157,46.32450959,150,0,1
150,135.5412007,113.9200439,150,150,0,0
150,118.2856706,99.45470083,118.8161789,150,1,0
150,99.64021035,71.37642072,73.8358129,150,2,1
150,150,47.98697246,38.74645052,43.90504481,0,1
150,131.3109337,110.4281153,131.3248029,150,0,0
150,114.1600601,96.06105528,114.2145179,150,0,0
150,77.71917608,65.49139185,77.75632682,150,0,1
68.74428704,34.00221179,28.81625088,34.01800876,68.85911272,0,1
150,141.6708109,119.1078497,141.6915014,150,1,0
150,150,111.0040109,109.2057422,150,0,0
150,122.8467683,80.48859316,79.19229923,113.4162283,1,0
150,150,50.3073595,43.87869522,53.75015703,0,1
150,131.3200187,110.4577183,131.3863286,150,5,0
58.32369547,97.80614408,150,150,120.8729741,4,0
45.6709369,39.73400846,48.47138611,150,150,2,1
150,133.0491906,111.880137,133.0491906,150,0,0
150,115.8033135,97.52716927,116.0678025,150,0,0
150,79.40107716,66.96273983,79.58331168,150,0,1
72.13487575,35.72674762,30.28957001,35.80660056,72.71477261,0,1
150,141.7797871,119.1861971,150,150,-1,0
150,109.2928667,111.0762342,150,150,0,0
113.5592132,79.27493337,80.56082375,150,150,1,0
80.22113436,45.83176389,41.34667854,52.55489273,150,1,1
150,141.004604,118.6090134,141.1402474,150,-2,0
123.112924,107.0607589,131.7952616,150,150,0,0
94.54889609,82.27788494,101.1891209,150,150,0,0
60.30863987,52.5698572,64.50106289,144.3398045,150,-1,1
150,132.3663317,111.2938788,132.3339999,150,-1,0
150,101.0085745,102.5370558,150,150,-2,0
79.24800404,75.23477135,102.6437185,150,150,2,0
62.82918324,45.31688062,46.95508703,73.33719169,150,3,1
150,138.4553023,116.4732263,138.5963262,150,2,0
150,150,128.8537152,104.9162398,120.8973118,2,0
150,150,150,99.67719298,87.41036799,1,0
150,150,150,98.80308945,75.54045677,2,0
150,150,150,148.4494352,85.49671167,1,0
150,150,150,140.1710495,111.9460223,-3,0
150,150,108.9062147,95.56601773,83.04976956,0,0
150,133.1361705,71.6188295,62.83285432,72.80101661,5,0
150,150,150,85.38825402,52.23779193,3,0
150,150,150,150,122.0337378,0,0
150,150,150,150,150,-3,0
150,150,150,150,101.3485424,-1,0
150,150,150,129.3365929,90.91944307,1,0
150,150,150,150,95.57590025,-2,0
150,150,150,97.05003017,78.97810665,1,0
150,150,150,102.0214722,71.62898846,4,0
150,150,150,150,150,0,0
150,150,150,150,150,0,0
150,150,150,150,150,0,0
150,150,150,150,150,0,0
150,150,150,150,150,-2,0
150,150,150,150,141.0379681,0,0
150,150,150,134.2711718,121.0401444,1,0
150,150,150,131.6541818,104.6632177,1,0
150,150,150,145.3768321,99.51028156,0,0
144.1039778,150,150,136.9045922,93.79985405,0,0
93.10142551,150,150,128.47486,88.05560019,0,0
99.61927735,150,150,120.021599,82.29552297,-1,0
129.164286,150,150,87.27450971,69.51507798,-1,0
150,150,101.697487,58.13078568,52.47774262,0,1
150,137.9517719,115.9396271,137.8835961,150,5,0
52.22734331,86.34122719,150,150,127.0318448,2,1
39.38817092,45.35825827,86.29163521,150,150,0,1
150,150,117.6234227,139.8994508,150,0,0
150,150,103.2562051,122.7102288,150,0,0
150,86.56663874,72.68647234,86.27695301,150,-1,0
62.45149045,39.23406993,37.47089019,51.07814325,150,0,1
150,136.0089027,114.3012445,135.8631902,150,0,0
150,118.751723,99.8359105,118.6248103,150,0,0
150,82.2381782,69.229216,82.15084526,150,-3,1
44.10998565,38.54725813,47.22723793,105.5659305,150,0,1
150,150,110.4437875,131.2962392,150,-1,0
150,100.1337172,101.6601851,150,150,0,0
150,70.03289685,71.09179225,106.6162416,150,0,1
48.25035066,33.91993131,34.41772786,51.20245718,150,0,1
150,134.0855469,112.703512,133.9763877,150,0,0
150,116.8305255,98.23811793,116.7357201,150,0,0
150,80.32174186,67.6314004,80.25699292,150,0,1
74.13271789,36.55919394,30.94229672,36.53046782,73.92419118,-2,1
150,150,116.2778332,138.2231205,150,-1,0
150,106.1634778,107.575308,150,150,0,0
109.7494295,75.98063628,76.98237315,115.1685428,150,1,0
74.21140715,42.18879983,37.9627677,48.04694722,150,0,1
150,138.4414359,116.3741625,138.3738979,150,2,0
150,150,128.9939452,104.8176004,120.5545576,1,0
150,150,126.1377563,86.44427409,86.77546739,1,0
150,150,128.5279809,71.19448605,63.31579971,1,0
150,150,150,62.43136472,48.88770052,-1,1
150,139.3487617,150,150,150,-1,0
150,107.087454,150,150,150,-1,0
92.85754538,150,150,150,144.0230281,-2,0
150,150,143.8273826,118.2981601,137.7117488,-2,0
150,118.0805834,86.33034316,90.7622351,144.3477878,0,0
